,journal,title,year,doi,novel_taxon,geography,age1,age2,genus_x,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,genus_y,Animalia,Bilateria,Deuterostomia,Protostomia,Arthropoda,Chordata,Vertebrata,Actinopterygii,Chondrichthyes,Tetrapoda,Amniota,Diapsida,Synapsida,Therapsida,Sauropsida,Archosauromorpha,Pseudosuchia,Dinosauromorpha,Dinosauria,Ornithischia,Saurischia,Mammaliaformes,Marsupialiformes,Placentalia,Theria,Avialae,Aves,classification
0,Nature,Mosaic anatomy in an early fossil squamate,2025,10.1038/s41586-025-09566-y,Breugnathair elgolensis,Scotland,Mesozoic,Jurassic,Breugnathair,Life,Eucarya,Opisthokonta,Animalia,Bilateria,Eubilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Osteichthyes,Sarcopterygii,Dipnotetrapodomorpha,Tetrapodomorpha,Tetrapoda,Reptiliomorpha,Anthracosauria,Amphibiosauria,Cotylosauria,Amniota,Sauropsida,Reptilia,Eureptilia,Romeriida,Diapsida,Eosuchia,Neodiapsida,Sauria,Lepidosauromorpha,Lepidosauria,Parviraptoridae,Breugnathair,,,,,,,,,,,,,,,,,,,,,,,Breugnathair,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Non-archosauromorph diapsids
1,Nature,A eudicot from the Early Cretaceous of China,2011,10.1038/nature09811,Leefructus mirus,China,Mesozoic,Cretaceous,Leefructus,Life,Eukaryota,Plantae,Tracheophyta,Angiospermae,Eudicots,Ranunculales,Leefructus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leefructus,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Non-metazoans
2,Nature,A late-Ediacaran crown-group sponge animal,2024,10.1038/s41586-024-07520-y,Helicolocellus cantori,China,Proterozoic,Ediacaran,Helicolocellus,Life,Eucarya,Opisthokonta,Animalia,Porifera,Helicolocellus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Helicolocellus,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Non-bilaterian metazoans
3,Nature,A new fossil species supports an early origin for toothed whale echolocation,2014,10.1038/nature13086,Cotylocara macei,United States of America,Cenozoic,Oligocene,Cotylocara,Life,Eucarya,Opisthokonta,Animalia,Bilateria,Eubilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Osteichthyes,Sarcopterygii,Dipnotetrapodomorpha,Tetrapodomorpha,Tetrapoda,Reptiliomorpha,Anthracosauria,Amphibiosauria,Cotylosauria,Amniota,Synapsida,Therapsida,Cynodontia,Mammaliamorpha,Mammaliaformes,Mammalia,Cladotheria,Zatheria,Tribosphenida,Theria,Eutheria,Placentalia,Boreoeutheria,Laurasiatheria,Scrotifera,Euungulata,Artiodactylamorpha,Artiodactyla,Whippomorpha,Cetacea,Pelagiceti,Neoceti,Odontoceti,Xenorophidae,Cotylocara,,,,,,,,,,Cotylocara,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,Placental mammals
4,Nature,The earliest known holometabolous insects,2013,10.1038/nature12629,Avioxyela gallica,France,Paleozoic,Carboniferous,Avioxyela,Life,Eucarya,Opisthokonta,Animalia,Bilateria,Eubilateria,Protostomia,Ecdysozoa,Panarthropoda,Arthropoda,Deuteropoda,Mandibulata,Pancrustacea,Altocrustacea,Allotriocarida,Athalassocarida,Labiocarida,Hexapoda,Cercofilata,Insecta,Dicondylia,Paranotalia,Pterygota,Neopterygota,Neoptera,Holometabola,Hymenopterida,Apatohymenoptera,Avioxyelidae,Avioxyela,,,,,,,,,,,,,,,,,,,,,,,,,Avioxyela,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Invertebrates (arthropods)
5,Nature,The earliest known holometabolous insects,2013,10.1038/nature12629,Stephanastus polinae,France,Paleozoic,Carboniferous,Stephanastus,Life,Eucarya,Opisthokonta,Animalia,Bilateria,Eubilateria,Protostomia,Ecdysozoa,Panarthropoda,Arthropoda,Deuteropoda,Mandibulata,Pancrustacea,Altocrustacea,Allotriocarida,Athalassocarida,Labiocarida,Hexapoda,Cercofilata,Insecta,Dicondylia,Paranotalia,Pterygota,Neopterygota,Neoptera,Holometabola,Aparaglossata,Neuropteriformia,Coleopterida,Skleroptera,Stephanastidae,Stephanastus,,,,,,,,,,,,,,,,,,,,,,,Stephanastus,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Invertebrates (arthropods)
6,Nature,The earliest known holometabolous insects,2013,10.1038/nature12629,Metabolarva bella,Germany,Paleozoic,Carboniferous,Metabolarva,Life,Eucarya,Opisthokonta,Animalia,Bilateria,Eubilateria,Protostomia,Ecdysozoa,Panarthropoda,Arthropoda,Deuteropoda,Mandibulata,Pancrustacea,Altocrustacea,Allotriocarida,Athalassocarida,Labiocarida,Hexapoda,Cercofilata,Insecta,Dicondylia,Paranotalia,Pterygota,Neopterygota,Neoptera,Holometabola,Metabolarva,,,,,,,,,,,,,,,,,,,,,,,,,,,,Metabolarva,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Invertebrates (arthropods)
7,Nature,The earliest known holometabolous insects,2013,10.1038/nature12629,Aviorrhyncha magnifica,France,Paleozoic,Carboniferous,Aviorrhyncha,Life,Eucarya,Opisthokonta,Animalia,Bilateria,Eubilateria,Protostomia,Ecdysozoa,Panarthropoda,Arthropoda,Deuteropoda,Mandibulata,Pancrustacea,Altocrustacea,Allotriocarida,Athalassocarida,Labiocarida,Hexapoda,Cercofilata,Insecta,Dicondylia,Paranotalia,Pterygota,Neopterygota,Neoptera,Clareocercaria,Acercaria,Pancondylognatha,Condylognatha,Hemiptera,Hemelytrata,Fulgoromorpha,Aviorrhynchidae,Aviorrhyncha,,,,,,,,,,,,,,,,,,,,,Aviorrhyncha,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Invertebrates (arthropods)
8,Nature,The earliest known holometabolous insects,2013,10.1038/nature12629,Westphalopsocus pumilio,France,Paleozoic,Carboniferous,Westphalopsocus,Life,Eucarya,Opisthokonta,Animalia,Bilateria,Eubilateria,Protostomia,Ecdysozoa,Panarthropoda,Arthropoda,Deuteropoda,Mandibulata,Pancrustacea,Altocrustacea,Allotriocarida,Athalassocarida,Labiocarida,Hexapoda,Cercofilata,Insecta,Dicondylia,Paranotalia,Pterygota,Neopterygota,Neoptera,Clareocercaria,Acercaria,Westphalopsocidae,Westphalopsocus,,,,,,,,,,,,,,,,,,,,,,,,,,Westphalopsocus,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Invertebrates (arthropods)
9,Nature,A Jurassic acanthocephalan illuminates the origin of thorny-headed worms,2025,10.1038/s41586-025-08830-5,Juracanthocephalus daohugouensis,China,Mesozoic,Jurassic,Juracanthocephalus,Life,Eucarya,Opisthokonta,Animalia,Eumetazoa,Triploblastica,Eutriploblastica,Neotriploblastica,Paracoelomata,Syndermata,Lemniscea,Acanthocephala,Juracanthocephalus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Juracanthocephalus,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Non-bilaterian metazoans
