,journal,title,year,doi,novel_taxon,geography,age1,age2,genus_x,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,genus_y,Plantae,Animalia,Bilateria,Deuterostomia,Protostomia,Brachiopoda,Echinodermata,Gastropoda,Mollusca,Arthropoda,Insecta,Ostracoda,Trilobita,Chordata,Vertebrata,Actinopterygii,Chondrichthyes,Tetrapodomorpha,Tetrapoda,Amniota,Diapsida,Synapsida,Therapsida,Sauropsida,Squamata,Archosauromorpha,Testudinata,Pseudosuchia,Pterosauria,Dinosauromorpha,Dinosauria,Ornithischia,Saurischia,Theropoda,Mammaliaformes,Marsupialiformes,Placentalia,Primates,Carnivora,Rodentia,Artiodactyla,Perissodactyla,Theria,Avialae,Aves,classification,publication_year_bin
0,Nature,Mosaic anatomy in an early fossil squamate,2025,10.1038/s41586-025-09566-y,Breugnathair elgolensis,Scotland,Mesozoic,Jurassic,Breugnathair,Life,Eucarya,Opisthokonta,Animalia,Bilateria,Eubilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Osteichthyes,Sarcopterygii,Dipnotetrapodomorpha,Tetrapodomorpha,Tetrapoda,Reptiliomorpha,Anthracosauria,Amphibiosauria,Cotylosauria,Amniota,Sauropsida,Reptilia,Eureptilia,Romeriida,Diapsida,Eosuchia,Neodiapsida,Sauria,Lepidosauromorpha,Lepidosauria,Parviraptoridae,Breugnathair,,,,,,,,,,,,,,,,,,,,,,,,,Breugnathair,False,True,True,True,False,False,False,False,False,False,False,False,False,True,True,False,False,True,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Non-archosauromorph diapsids,2020-2026
1,Nature,A eudicot from the Early Cretaceous of China,2011,10.1038/nature09811,Leefructus mirus,China,Mesozoic,Cretaceous,Leefructus,Life,Eukaryota,Plantae,Tracheophyta,Angiospermae,Eudicots,Ranunculales,Leefructus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leefructus,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Plants,2010-2014
2,Nature,A late-Ediacaran crown-group sponge animal,2024,10.1038/s41586-024-07520-y,Helicolocellus cantori,China,Proterozoic,Ediacaran,Helicolocellus,Life,Eucarya,Opisthokonta,Animalia,Porifera,Helicolocellus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Helicolocellus,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Non-bilaterian metazoans,2020-2026
3,Nature,A new fossil species supports an early origin for toothed whale echolocation,2014,10.1038/nature13086,Cotylocara macei,United States of America,Cenozoic,Oligocene,Cotylocara,Life,Eucarya,Opisthokonta,Animalia,Bilateria,Eubilateria,Deuterostomia,Chordata,Vertebrata,Gnathostomata,Osteichthyes,Sarcopterygii,Dipnotetrapodomorpha,Tetrapodomorpha,Tetrapoda,Reptiliomorpha,Anthracosauria,Amphibiosauria,Cotylosauria,Amniota,Synapsida,Therapsida,Cynodontia,Mammaliamorpha,Mammaliaformes,Mammalia,Cladotheria,Zatheria,Tribosphenida,Theria,Eutheria,Placentalia,Boreoeutheria,Laurasiatheria,Scrotifera,Euungulata,Artiodactylamorpha,Artiodactyla,Whippomorpha,Cetacea,Pelagiceti,Neoceti,Odontoceti,Xenorophidae,Cotylocara,,,,,,,,,,,,Cotylocara,False,True,True,True,False,False,False,False,False,False,False,False,False,True,True,False,False,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,"Mammals, placental (artiodactyls)",2010-2014
4,Nature,The earliest known holometabolous insects,2013,10.1038/nature12629,Avioxyela gallica,France,Paleozoic,Carboniferous,Avioxyela,Life,Eucarya,Opisthokonta,Animalia,Bilateria,Eubilateria,Protostomia,Ecdysozoa,Panarthropoda,Arthropoda,Deuteropoda,Mandibulata,Pancrustacea,Altocrustacea,Allotriocarida,Athalassocarida,Labiocarida,Hexapoda,Cercofilata,Insecta,Dicondylia,Paranotalia,Pterygota,Neopterygota,Neoptera,Holometabola,Hymenopterida,Apatohymenoptera,Avioxyelidae,Avioxyela,,,,,,,,,,,,,,,,,,,,,,,,,,,Avioxyela,False,True,True,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Invertebrates (insects),2010-2014
5,Nature,The earliest known holometabolous insects,2013,10.1038/nature12629,Stephanastus polinae,France,Paleozoic,Carboniferous,Stephanastus,Life,Eucarya,Opisthokonta,Animalia,Bilateria,Eubilateria,Protostomia,Ecdysozoa,Panarthropoda,Arthropoda,Deuteropoda,Mandibulata,Pancrustacea,Altocrustacea,Allotriocarida,Athalassocarida,Labiocarida,Hexapoda,Cercofilata,Insecta,Dicondylia,Paranotalia,Pterygota,Neopterygota,Neoptera,Holometabola,Aparaglossata,Neuropteriformia,Coleopterida,Skleroptera,Stephanastidae,Stephanastus,,,,,,,,,,,,,,,,,,,,,,,,,Stephanastus,False,True,True,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Invertebrates (insects),2010-2014
6,Nature,The earliest known holometabolous insects,2013,10.1038/nature12629,Metabolarva bella,Germany,Paleozoic,Carboniferous,Metabolarva,Life,Eucarya,Opisthokonta,Animalia,Bilateria,Eubilateria,Protostomia,Ecdysozoa,Panarthropoda,Arthropoda,Deuteropoda,Mandibulata,Pancrustacea,Altocrustacea,Allotriocarida,Athalassocarida,Labiocarida,Hexapoda,Cercofilata,Insecta,Dicondylia,Paranotalia,Pterygota,Neopterygota,Neoptera,Holometabola,Metabolarva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Metabolarva,False,True,True,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Invertebrates (insects),2010-2014
7,Nature,The earliest known holometabolous insects,2013,10.1038/nature12629,Aviorrhyncha magnifica,France,Paleozoic,Carboniferous,Aviorrhyncha,Life,Eucarya,Opisthokonta,Animalia,Bilateria,Eubilateria,Protostomia,Ecdysozoa,Panarthropoda,Arthropoda,Deuteropoda,Mandibulata,Pancrustacea,Altocrustacea,Allotriocarida,Athalassocarida,Labiocarida,Hexapoda,Cercofilata,Insecta,Dicondylia,Paranotalia,Pterygota,Neopterygota,Neoptera,Clareocercaria,Acercaria,Pancondylognatha,Condylognatha,Hemiptera,Hemelytrata,Fulgoromorpha,Aviorrhynchidae,Aviorrhyncha,,,,,,,,,,,,,,,,,,,,,,,Aviorrhyncha,False,True,True,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Invertebrates (insects),2010-2014
8,Nature,The earliest known holometabolous insects,2013,10.1038/nature12629,Westphalopsocus pumilio,France,Paleozoic,Carboniferous,Westphalopsocus,Life,Eucarya,Opisthokonta,Animalia,Bilateria,Eubilateria,Protostomia,Ecdysozoa,Panarthropoda,Arthropoda,Deuteropoda,Mandibulata,Pancrustacea,Altocrustacea,Allotriocarida,Athalassocarida,Labiocarida,Hexapoda,Cercofilata,Insecta,Dicondylia,Paranotalia,Pterygota,Neopterygota,Neoptera,Clareocercaria,Acercaria,Westphalopsocidae,Westphalopsocus,,,,,,,,,,,,,,,,,,,,,,,,,,,,Westphalopsocus,False,True,True,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Invertebrates (insects),2010-2014
9,Nature,A Jurassic acanthocephalan illuminates the origin of thorny-headed worms,2025,10.1038/s41586-025-08830-5,Juracanthocephalus daohugouensis,China,Mesozoic,Jurassic,Juracanthocephalus,Life,Eucarya,Opisthokonta,Animalia,Eumetazoa,Triploblastica,Eutriploblastica,Neotriploblastica,Paracoelomata,Syndermata,Lemniscea,Acanthocephala,Juracanthocephalus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Juracanthocephalus,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Non-bilaterian metazoans,2020-2026
