journal,title,year,doi,novel_taxon,geography,age1,age2
Nature,Mosaic anatomy in an early fossil squamate,2025,10.1038/s41586-025-09566-y,Breugnathair elgolensis,Scotland,Mesozoic,Jurassic
Nature,A Cambrian soft-bodied biota after the first Phanerozoic mass extinction,2026,10.1038/s41586-025-10030-0,,,,
Nature,A eudicot from the Early Cretaceous of China,2011,10.1038/nature09811,Leefructus mirus,China,Mesozoic,Cretaceous
Nature,A late-Ediacaran crown-group sponge animal,2024,10.1038/s41586-024-07520-y,Helicolocellus cantori,China,Proterozoic,Ediacaran
Nature,A new fossil species supports an early origin for toothed whale echolocation,2014,10.1038/nature13086,Cotylocara macei,United States,Cenozoic,Oligocene
Nature,The earliest known holometabolous insects,2013,10.1038/nature12629,Avioxyela gallica,France,Paleozoic,Carboniferous
Nature,The earliest known holometabolous insects,2013,10.1038/nature12629,Stephanastus polinae,France,Paleozoic,Carboniferous
Nature,The earliest known holometabolous insects,2013,10.1038/nature12629,Metabolarva bella,Germany,Paleozoic,Carboniferous
Nature,The earliest known holometabolous insects,2013,10.1038/nature12629,Aviorrhyncha magnifica,France,Paleozoic,Carboniferous
Nature,The earliest known holometabolous insects,2013,10.1038/nature12629,Westphalopsocus pumilio,France,Paleozoic,Carboniferous
Nature,A Jurassic acanthocephalan illuminates the origin of thorny-headed worms,2025,10.1038/s41586-025-08830-5,Juracanthocephalus daohugouensis,China,Mesozoic,Jurassic
Nature,The oldest complete jawed vertebrates from the early Silurian of China,2022,10.1038/s41586-022-05136-8,Xiushanosteus mirabilis,China,Paleozoic,Silurian
Nature,The oldest complete jawed vertebrates from the early Silurian of China,2022,10.1038/s41586-022-05136-8,Shenacanthus vermiformis ,China,Paleozoic,Silurian
Nature,Cretaceous fossil reveals a new pattern in mammalian middle ear evolution,2019,10.1038/s41586-019-1792-0,Jeholbaatar kielanae,China,Mesozoic,Cretaceous
Nature,A Cambrian crown annelid reconciles phylogenomics and the fossil record,2020,10.1038/s41586-020-2384-8,Dannychaeta tucolus,China,Paleozoic,Cambrian
Nature,New Silurian aculiferan fossils reveal complex early history of Mollusca,2025,10.1038/s41586-024-08312-0,Punk ferox,United Kingdom,Paleozoic,Silurian
Nature,New Silurian aculiferan fossils reveal complex early history of Mollusca,2025,10.1038/s41586-024-08312-0,Emo vorticaudum,United Kingdom,Paleozoic,Silurian
Nature, A domed pachycephalosaur from the early Cretaceous of Mongolia ,2025,10.1038/s41586-025-09213-6,Zavacephale rinpoche,Mongolia,Mesozoic,Cretaceous
Nature,Palaeontological evidence for an Oligocene divergence between Old World monkeys and apes,2013,10.1038/nature12161,Nsungwepithecus gunnelli,Tanzania,Cenozoic,Oligocene
Nature,Palaeontological evidence for an Oligocene divergence between Old World monkeys and apes,2013,10.1038/nature12161,Rukwapithecus fleaglei,Tanzania,Cenozoic,Oligocene
Nature,Death march of a segmented and trilobate bilaterian elucidates early animal evolution,2019,10.1038/s41586-019-1522-7,Yilingia spiciformis,China,Proterozoic,Ediacaran
Nature,First North American fossil monkey and early Miocene tropical biotic interchange,2016,10.1038/nature17415,Panamacebus transitus,Panama,Cenozoic,Miocene
Nature,Meiofaunal deuterostomes from the basal Cambrian of Shaanxi (China),2017,10.1038/nature21072,Saccorhytus coronarius,China,Paleozoic,Cambrian
Nature,Late middle Eocene epoch of Libya yields earliest known radiation of African anthropoids,2010,10.1038/nature09425,Karanisia arenula,Libya,Cenozoic,Eocene
Nature,Late middle Eocene epoch of Libya yields earliest known radiation of African anthropoids,2010,10.1038/nature09425,Afrotarsius libycus,Libya,Cenozoic,Eocene
Nature,Late middle Eocene epoch of Libya yields earliest known radiation of African anthropoids,2010,10.1038/nature09425,Talahpithecus parvus,Libya,Cenozoic,Eocene
Nature,Amphibious flies and paedomorphism in the Jurassic period,2013,10.1038/nature11898,Strashila daohugouensis,China,Mesozoic,Jurassic
Nature,New Oligocene primate from Saudi Arabia and the divergence of apes and Old World monkeys,2010,10.1038/nature09094,Saadanius hijazensis,Saudi Arabia,Cenozoic,Oligocene
Nature,A complete insect from the Late Devonian period,2012,10.1038/nature11281,Strudiella devonica,Belgium,Paleozoic,Devonian
Nature,A new Mongolian tyrannosauroid and the evolution of Eutyrannosauria,2025,10.1038/s41586-025-08964-6,Khankhuuluu mongoliensis,Mongolia,Mesozoic,Cretaceous
Nature,The oldest known primate skeleton and early haplorhine evolution,2013,10.1038/nature12200,Archicebus achilles,China,Cenozoic,Eocene
